space,date,demand
3259,2013-03-06,5.07308189076667
3259,2013-03-07,5.39235911556667
3259,2013-03-08,5.84659236776667
3259,2013-03-09,5.87280404866667
3259,2013-03-10,5.9506409502
3259,2013-03-11,4.23876565818333
3259,2013-03-12,6.79758138596667
3259,2013-03-13,4.95058649395
3259,2013-03-14,5.11497236848333
3259,2013-03-15,5.0670221561
3259,2013-03-16,5.476227461
3259,2013-03-17,5.68239522416667
3259,2013-03-18,3.79569243155
3259,2013-03-19,4.95109175648333
3259,2013-03-20,4.90344729345
3259,2013-03-21,5.63173807651667
3259,2013-03-22,4.6985156628
3259,2013-03-23,5.56557959401667
3259,2013-03-24,5.37254762446667
3259,2013-03-25,5.18600011385
3259,2013-03-26,4.36221682155
3259,2013-03-27,5.24832468025
3259,2013-03-28,5.07372669593333
3259,2013-03-29,6.31545952691667
3259,2013-03-30,5.76421079283333
3259,2013-03-31,5.61855155288333
3259,2013-04-01,4.90305757641667
3259,2013-04-02,4.69415692975
3259,2013-04-03,5.26519046458333
3259,2013-04-04,5.19956647986667
3259,2013-04-05,6.79701704545
3259,2013-04-06,6.59138435911667
3259,2013-04-07,5.45165327871667
3259,2013-04-08,4.78291985373333
3259,2013-04-09,4.84289173786667
3259,2013-04-10,4.87563412923333
3259,2013-04-11,4.60339206895
3259,2013-04-12,6.33465540313333
3259,2013-04-13,6.81120855816667
3259,2013-04-14,5.84881243133333
3259,2013-04-15,5.60155202346667
3259,2013-04-16,5.50711098628333
3259,2013-04-17,5.16091164301667
3259,2013-04-18,5.7538118549
3259,2013-04-19,6.30929529358333
3259,2013-04-20,7.31831320233333
3259,2013-04-21,5.91944770473333
3259,2013-04-22,6.21871913578333
3259,2013-04-23,5.11548984265
3259,2013-04-24,6.08623662338333
3259,2013-04-25,6.18670580275
3259,2013-04-26,6.29049418508333
3259,2013-04-27,7.82893861171667
3259,2013-04-28,6.40958478008333
3259,2013-04-29,5.35538194445
3259,2013-04-30,4.73123477095
3259,2013-05-01,5.95277504706667
3259,2013-05-02,5.51293506318333
3259,2013-05-03,6.86928253986667
3259,2013-05-04,7.18001100485
3259,2013-05-05,6.25014740565
3259,2013-05-06,5.51403083508333
3259,2013-05-07,5.5352019592
3259,2013-05-08,5.80324673538333
3259,2013-05-09,6.38666704613333
3259,2013-05-10,6.93082694763333
3259,2013-05-11,7.58072638046667
3259,2013-05-12,6.82707101053333
3259,2013-05-13,4.94378970965
3259,2013-05-14,5.6840707401
3259,2013-05-15,6.01227204225
3259,2013-05-16,6.2171997918
3259,2013-05-17,7.10978287826667
3259,2013-05-18,7.55730429708333
3259,2013-05-19,6.119545011
3259,2013-05-20,6.37712781313333
3259,2013-05-21,6.35324634108333
3259,2013-05-22,5.70766046766667
3259,2013-05-23,5.79789508788333
3259,2013-05-24,6.76824786325
3259,2013-05-25,7.12076279455
3259,2013-05-26,6.57928030266667
3259,2013-05-27,6.03364891956667
3259,2013-05-28,5.19397331441667
3259,2013-05-29,5.83879626896667
3259,2013-05-30,5.98550450056667
3259,2013-05-31,6.97268465498333
3259,2013-06-01,7.02053384073333
3259,2013-06-02,6.28342228568333
3259,2013-06-03,5.93486496916667
3259,2013-06-04,5.8719408701
3259,2013-06-05,6.08053966958333
3259,2013-06-06,6.6943926976
3259,2013-06-07,7.2978975055
3259,2013-06-08,6.89918618088333
3259,2013-06-09,6.37386039885
3259,2013-06-10,6.0727495893
3259,2013-06-11,5.89328050328333
3259,2013-06-12,5.73303647976667
3259,2013-06-13,6.06478373628333
3259,2013-06-14,6.7343581888
3259,2013-06-15,7.4279078136
3259,2013-06-16,6.58731184066667
3259,2013-06-17,5.65132795401667
3259,2013-06-18,5.90139799478333
3259,2013-06-19,6.23106360056667
